date,state,town,propertyCategory,propertyType,lotSize,transactedAmount
9/9/2015,SELANGOR,SHAH ALAM,RESIDENTIAL,APARTMENT/FLAT,800,213000
9/9/2015,SELANGOR,RAWANG,RESIDENTIAL,TERRACE HOUSE,1746,530000
9/9/2015,SELANGOR,KLANG,RESIDENTIAL,TERRACE HOUSE,1388,330000
9/9/2015,SELANGOR,KLANG,RESIDENTIAL,TERRACE HOUSE,1055,140000
9/9/2015,SELANGOR,KLANG,RESIDENTIAL,TERRACE HOUSE,2484,500000
9/9/2015,SELANGOR,SERI KEMBANGAN,RESIDENTIAL,APARTMENT/FLAT,940,335000
9/9/2015,SELANGOR,SEPANG,RESIDENTIAL,BUNGALOW,5597,600000
9/9/2015,SELANGOR,RAWANG,RESIDENTIAL,TERRACE HOUSE,1604,468000
9/9/2015,SELANGOR,BATANG KALI,RESIDENTIAL,SEMI-D,6157,300000
9/9/2015,SELANGOR,SHAH ALAM,RESIDENTIAL,TERRACE HOUSE,2325,996000
9/9/2015,SELANGOR,SHAH ALAM,RESIDENTIAL,TERRACE HOUSE,1879,753000
9/9/2015,SELANGOR,TROPICANA,RESIDENTIAL,CONDOMINIUM,2734,2200000
9/9/2015,SELANGOR,KLANG,RESIDENTIAL,SEMI-D,3069,730000
9/9/2015,SELANGOR,SEKINCHAN,RESIDENTIAL,TERRACE HOUSE,904,300000
9/9/2015,SELANGOR,KLANG,RESIDENTIAL,TERRACE HOUSE,1442,280000
9/9/2015,SELANGOR,SHAH ALAM,RESIDENTIAL,APARTMENT/FLAT,743,110000
9/9/2015,SELANGOR,SERI KEMBANGAN,RESIDENTIAL,CONDOMINIUM,901,278000
9/9/2015,SELANGOR,AMPANG,RESIDENTIAL,APARTMENT/FLAT,665,118000
9/9/2015,SELANGOR,AMPANG,RESIDENTIAL,APARTMENT/FLAT,614,125000
9/9/2015,SELANGOR,BANGI,RESIDENTIAL,APARTMENT/FLAT,614,90000
9/9/2015,SELANGOR,BANGI,RESIDENTIAL,APARTMENT/FLAT,861,250000
9/9/2015,SELANGOR,KAPAR,RESIDENTIAL,TERRACE HOUSE,1302,120000
9/9/2015,SELANGOR,SERI KEMBANGAN,RESIDENTIAL,TERRACE HOUSE,829,250000
9/9/2015,SELANGOR,AMPANG,RESIDENTIAL,APARTMENT/FLAT,829,235000
9/9/2015,SELANGOR,ARA DAMANSARA,RESIDENTIAL,SERVICE RESIDENCE,669,495000
9/9/2015,SELANGOR,PETALING JAYA,RESIDENTIAL,TERRACE HOUSE,1684,1200000
9/9/2015,SELANGOR,SERI KEMBANGAN,RESIDENTIAL,APARTMENT/FLAT,657,123000
9/9/2015,SELANGOR,KLANG,RESIDENTIAL,APARTMENT/FLAT,958,160000
9/9/2015,SELANGOR,RAWANG,RESIDENTIAL,APARTMENT/FLAT,807,140000
9/9/2015,SELANGOR,SERI KEMBANGAN,RESIDENTIAL,SEMI-D,2660,900000
9/9/2015,SELANGOR,RAWANG,RESIDENTIAL,TERRACE HOUSE,1384,450000
9/9/2015,SELANGOR,DENGKIL,RESIDENTIAL,APARTMENT/FLAT,780,145000
9/9/2015,SELANGOR,PUCHONG,RESIDENTIAL,APARTMENT/FLAT,807,255000
9/9/2015,SELANGOR,SUNGAI BULOH,RESIDENTIAL,CONDOMINIUM,1422,730000
9/9/2015,SELANGOR,SETIA ALAM,RESIDENTIAL,TERRACE HOUSE,1468,680000
9/9/2015,SELANGOR,PUCHONG,RESIDENTIAL,APARTMENT/FLAT,790,240000
9/9/2015,SELANGOR,PUCHONG,RESIDENTIAL,APARTMENT/FLAT,1001,280000
9/9/2015,SELANGOR,KLANG,RESIDENTIAL,APARTMENT/FLAT,883,200000
9/9/2015,SELANGOR,KAJANG,RESIDENTIAL,TERRACE HOUSE,1340,200000
9/9/2015,SELANGOR,SUBANG JAYA,RESIDENTIAL,CONDOMINIUM,1959,500000
9/9/2015,SELANGOR,SUBANG JAYA,RESIDENTIAL,CONDOMINIUM,2917,900000
9/9/2015,SELANGOR,KEPONG,RESIDENTIAL,TERRACE HOUSE,1733,560000
9/9/2015,SELANGOR,KOTA DAMANSARA,RESIDENTIAL,CONDOMINIUM,968,485000
9/9/2015,SELANGOR,PANDAMARAN,RESIDENTIAL,TERRACE HOUSE,3336,1000000
9/9/2015,SELANGOR,PANDAMARAN,RESIDENTIAL,TERRACE HOUSE,2157,745000
9/9/2015,SELANGOR,CHERAS,RESIDENTIAL,CONDOMINIUM,1399,198000
9/9/2015,SELANGOR,IJOK,RESIDENTIAL,TERRACE HOUSE,1399,350000
9/9/2015,SELANGOR,CHERAS,RESIDENTIAL,BUNGALOW,5406,1200000
9/9/2015,SELANGOR,PUCHONG,RESIDENTIAL,TERRACE HOUSE,1076,450000
9/9/2015,SELANGOR,SELAYANG,RESIDENTIAL,APARTMENT/FLAT,936,275000
9/9/2015,SELANGOR,ULU KELANG,RESIDENTIAL,CONDOMINIUM,861,210000
9/9/2015,SELANGOR,BATU CAVES,RESIDENTIAL,TERRACE HOUSE,960,345000
9/9/2015,SELANGOR,ULU KELANG,RESIDENTIAL,CONDOMINIUM,2260,703000
9/9/2015,SELANGOR,KAJANG,RESIDENTIAL,BUNGALOW,5000,555000
9/9/2015,SELANGOR,SUNGAI BULOH,RESIDENTIAL,TERRACE HOUSE,2885,663000
9/9/2015,SELANGOR,AMPANG,RESIDENTIAL,TERRACE HOUSE,1480,550000
9/9/2015,SELANGOR,SERI KEMBANGAN,RESIDENTIAL,TERRACE HOUSE,1540,450000
9/9/2015,SELANGOR,SELAYANG,RESIDENTIAL,CONDOMINIUM,1001,325000
9/9/2015,SELANGOR,AMPANG,RESIDENTIAL,TERRACE HOUSE,1300,420000
9/9/2015,SELANGOR,BANDAR SRI DAMANSARA,RESIDENTIAL,APARTMENT/FLAT,650,123000
9/9/2015,SELANGOR,SELAYANG,RESIDENTIAL,SEMI-D,5651,1940000
9/9/2015,SELANGOR,RAWANG,RESIDENTIAL,TERRACE HOUSE,1540,355000
9/9/2015,SELANGOR,KAJANG,RESIDENTIAL,APARTMENT/FLAT,990,290000
9/9/2015,SELANGOR,SAUJANA,RESIDENTIAL,CONDOMINIUM,2174,1550000
9/9/2015,SELANGOR,SUBANG JAYA,RESIDENTIAL,APARTMENT/FLAT,1012,425000
9/9/2015,SELANGOR,PUCHONG,RESIDENTIAL,APARTMENT/FLAT,646,70000
9/9/2015,SELANGOR,CHERAS,RESIDENTIAL,APARTMENT/FLAT,1242,380000
9/9/2015,SELANGOR,SELAYANG,RESIDENTIAL,CONDOMINIUM,915,230000
9/9/2015,SELANGOR,CHERAS,RESIDENTIAL,TERRACE HOUSE,2863,328000
9/9/2015,SELANGOR,TEMPLER,RESIDENTIAL,TERRACE HOUSE,2433,715000
9/9/2015,SELANGOR,CHERAS,RESIDENTIAL,TOWN HOUSE,852,328000
9/9/2015,SELANGOR,PUCHONG,RESIDENTIAL,TERRACE HOUSE,1400,510000
9/9/2015,SELANGOR,SUBANG JAYA,RESIDENTIAL,APARTMENT/FLAT,650,120000
9/9/2015,SELANGOR,SELAYANG,RESIDENTIAL,TERRACE HOUSE,1647,500000
9/9/2015,SELANGOR,BERANANG,RESIDENTIAL,TERRACE HOUSE,1647,350000
9/9/2015,SELANGOR,KLANG,RESIDENTIAL,APARTMENT/FLAT,750,250000
9/9/2015,SELANGOR,BANDAR KINRARA,RESIDENTIAL,CONDOMINIUM,1072,465000
9/9/2015,SELANGOR,SERENDAH,RESIDENTIAL,APARTMENT/FLAT,750,90000
9/9/2015,SELANGOR,PUCHONG,RESIDENTIAL,TERRACE HOUSE,1608,590000
